x-axis,1,2
second,Volt,Volt
+8.0000E-03,,
+8.2604E-03,,
+8.5208E-03,,
+8.7813E-03,,
+9.0417E-03,,
+9.3021E-03,+490.3174E-03,+428.9895E-03
+9.5625E-03,+489.6892E-03,+404.4920E-03
+9.8229E-03,+489.9656E-03,+392.2056E-03
+10.0833E-03,+490.1415E-03,+390.0950E-03
+10.3438E-03,+490.1415E-03,+390.0950E-03
+10.6042E-03,+490.1415E-03,+390.0950E-03
+10.8646E-03,+489.6892E-03,+389.6427E-03
+11.1250E-03,+489.5134E-03,+389.9191E-03
+11.3854E-03,+489.9656E-03,+390.0950E-03
+11.6458E-03,+490.1415E-03,+390.5473E-03
+11.9063E-03,+490.1415E-03,+390.2709E-03
+12.1667E-03,+490.1415E-03,+390.5473E-03
+12.4271E-03,+490.1415E-03,+390.2709E-03
+12.6875E-03,+489.6892E-03,+390.5473E-03
+12.9479E-03,+489.5134E-03,+390.7231E-03
+13.2083E-03,+489.9656E-03,+390.2709E-03
+13.4688E-03,+490.1415E-03,+390.5473E-03
+13.7292E-03,+490.1415E-03,+390.2709E-03
+13.9896E-03,+489.6892E-03,+390.0950E-03
+14.2500E-03,+489.9656E-03,+390.0950E-03
+14.5104E-03,+490.1415E-03,+390.0950E-03
+14.7708E-03,+490.1415E-03,+390.0950E-03
+15.0313E-03,+490.1415E-03,+390.0950E-03
+15.2917E-03,+490.1415E-03,+390.5473E-03
+15.5521E-03,+490.1415E-03,+390.2709E-03
+15.8125E-03,+489.6892E-03,+390.5473E-03
+16.0729E-03,+489.9656E-03,+390.7231E-03
+16.3333E-03,+490.1415E-03,+390.7231E-03
+16.5938E-03,+490.1415E-03,+390.7231E-03
+16.8542E-03,+489.6892E-03,+390.7231E-03
+17.1146E-03,+489.5134E-03,+390.2709E-03
+17.3750E-03,+489.5134E-03,+390.0950E-03
+17.6354E-03,+489.9656E-03,+390.0950E-03
+17.8958E-03,+490.1415E-03,+390.0950E-03
+18.1563E-03,+490.1415E-03,+390.0950E-03
+18.4167E-03,+490.1415E-03,+390.0950E-03
+18.6771E-03,+490.1415E-03,+390.5473E-03
+18.9375E-03,+489.6892E-03,+390.2709E-03
+19.1979E-03,+489.9656E-03,+390.5473E-03
+19.4583E-03,+489.6892E-03,+391.1754E-03
+19.7188E-03,+489.5134E-03,+390.8990E-03
+19.9792E-03,+489.5134E-03,+390.7231E-03
+20.2396E-03,+487.2521E-03,+435.0448E-03
+20.5000E-03,+489.0862E-03,+476.2508E-03
+20.7604E-03,+489.2370E-03,+486.9292E-03
